PassiveEnglish,PassiveChinese,DescriptionEnglish,DescriptionChinese
Rock Solid,坚如磐石,Increases melee damage by 100%; bearer is more resistant to being knocked prone.,近战伤害提升100%；更不易被击倒。
Desert Stormer,沙漠突击者,Provides 40% resistance to fire gas acid and electrical damage; increases throwing range by 20%.,火焰/毒气/酸液/电击伤害抗性+40%；投掷距离+20%。
Feet First,护腿为上,Wearer makes 50% less noise when moving; increases point-of-interest identification range by 30%; provides immunity to leg injuries.,移动噪音-50%；兴趣点识别范围+30%；免疫腿部伤害。
Adreno-Defibrillator,肾上腺素除颤器,Provides one-time short resuscitation upon death (if body intact); increases stim duration by 2.0s; provides 50% resistance to arc damage.,死亡后一次短暂复苏（尸体完整时）；兴奋剂持续+2秒；电弧伤害抗性+50%。
Ballistic Padding,防弹内衬,Provides 25% resistance to chest damage and explosive damage; prevents bleeding chest damage.,胸部伤害抗性+25%；爆炸伤害抗性+25%；免疫出血。
Reinforced Epaulettes,强化肩章,Increases primary reload speed by 30%; 50% chance to avoid grievous limb injury; increases melee damage by 50%.,主武器装填速度+30%；50%概率避免严重肢体伤害；近战伤害+50%。
Gunslinger,神枪手,Increases sidearm reload speed by 40%; increases draw/holster speed by 50%; reduces sidearm recoil by 70%.,副武器装填速度+40%；拔枪/收枪速度+50%；副武器后坐力-70%。
Integrated Explosives,集成炸药,Armor explodes 1.5s after wearer dies; increases initial inventory and carrying capacity of throwables by +2.,死亡1.5秒后护甲引爆；投掷物初始与携带量+2。
Acclimated,应变自如,Provides 50% resistance to fire gas acid and electrical damage.,火焰/毒气/酸液/电击伤害抗性+50%。
Siege-Ready,蓄势出击,Increases primary reload speed by 30%; increases ammo capacity of all weapons by 20% (except weapon backpacks).,主武器装填速度+30%；所有武器弹药容量+20%（不含背包武器）。
Unflinching,毫不畏缩,Helps prevent flinching when hit; provides higher armor rating; map markers generate radar scans every 2.0s.,受击不易硬直；提升护甲等级；地图标记每2秒触发扫描。
Advanced Filtration,高级过滤,Provides 80% resistance to gas damage and effects.,毒气伤害与效果抗性+80%。
Inflammable,易燃易爆,Provides 75% damage resistance to fire.,火焰伤害抗性+75%。
Peak Physique,健壮体格,Increases melee damage by 100%; improves weapon handling.,近战伤害+100%；武器操控更顺手。
Electrical Conduit,电路导管,Provides 95% resistance to arc damage.,电弧伤害抗性+95%。
Fortified,强化,Further reduces recoil when crouching or prone by 30%; provides 50% resistance to explosive damage.,蹲伏/卧倒时后坐力-30%；爆炸伤害抗性+50%。
Scout,侦察,Map markers generate radar scans every 2.0s; reduces enemy detection range by 30%.,地图标记每2秒触发扫描；敌人探测范围-30%。
Engineering Kit,工程包,Further reduces recoil when crouching or prone by 30%; increases throwables capacity by +2.,蹲伏/卧倒后坐力-30%；投掷物容量+2。
Med-Kit,急救包,Increases initial and carrying capacity of stims by +2; increases stim duration by 2.0s.,兴奋剂初始与携带量+2；持续+2秒。
Servo-Assisted,伺服辅助,Increases throwing range by 30%; provides +50% limb health.,投掷距离+30%；肢体生命值+50%。
Democracy Protects,民主护佑,50% chance to not die when taking lethal damage; prevents bleeding chest damage.,遭受致命伤时50%概率免死；免疫出血。
Extra Padding,额外垫料,Provides a higher armor rating.,提升护甲等级。
